model,display_name,condition,class_id,accuracy,clean_accuracy,accuracy_drop,n_samples,flip_rate,lost_clean_correct,gained_from_clean_wrong
ce_arc_60_40,CE+ArcFace 60:40,clean,8,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,clean,9,0.9928571428571429,0.9928571428571429,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,jpg70,0,0.9971428571428571,0.9942857142857143,-0.0028571428571427804,700,0.002857142857142857,0,2
ce_arc_60_40,CE+ArcFace 60:40,jpg70,1,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,jpg70,2,0.9942857142857143,0.9957142857142857,0.0014285714285713347,700,0.0014285714285714286,1,0
ce_arc_60_40,CE+ArcFace 60:40,jpg70,3,0.9942857142857143,0.9971428571428571,0.0028571428571427804,700,0.002857142857142857,2,0
ce_arc_60_40,CE+ArcFace 60:40,jpg70,4,0.9814285714285714,0.9814285714285714,0.0,700,0.002857142857142857,1,1
ce_arc_60_40,CE+ArcFace 60:40,jpg70,5,0.9942857142857143,0.9957142857142857,0.0014285714285713347,700,0.0014285714285714286,1,0
ce_arc_60_40,CE+ArcFace 60:40,jpg70,6,0.9914285714285714,0.9842857142857143,-0.0071428571428571175,700,0.01,1,6
ce_arc_60_40,CE+ArcFace 60:40,jpg70,7,0.8371428571428572,0.9642857142857143,0.1271428571428571,700,0.13,89,0
ce_arc_60_40,CE+ArcFace 60:40,jpg70,8,0.9914285714285714,0.9957142857142857,0.004285714285714226,700,0.007142857142857143,4,1
ce_arc_60_40,CE+ArcFace 60:40,jpg70,9,0.9671428571428572,0.9928571428571429,0.02571428571428569,700,0.02857142857142857,19,1
ce_arc_60_40,CE+ArcFace 60:40,blur12,0,0.9942857142857143,0.9942857142857143,0.0,700,0.005714285714285714,2,2
ce_arc_60_40,CE+ArcFace 60:40,blur12,1,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.0014285714285714286,0,1
ce_arc_60_40,CE+ArcFace 60:40,blur12,2,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,blur12,3,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,blur12,4,0.9814285714285714,0.9814285714285714,0.0,700,0.002857142857142857,1,1
ce_arc_60_40,CE+ArcFace 60:40,blur12,5,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.0014285714285714286,0,1
ce_arc_60_40,CE+ArcFace 60:40,blur12,6,0.9814285714285714,0.9842857142857143,0.0028571428571428914,700,0.011428571428571429,5,3
ce_arc_60_40,CE+ArcFace 60:40,blur12,7,0.9342857142857143,0.9642857142857143,0.030000000000000027,700,0.03571428571428571,23,2
ce_arc_60_40,CE+ArcFace 60:40,blur12,8,0.9928571428571429,0.9957142857142857,0.0028571428571427804,700,0.002857142857142857,2,0
ce_arc_60_40,CE+ArcFace 60:40,blur12,9,0.9628571428571429,0.9928571428571429,0.030000000000000027,700,0.03,21,0
ce_arc_60_40,CE+ArcFace 60:40,down50,0,0.9957142857142857,0.9942857142857143,-0.0014285714285713347,700,0.004285714285714286,1,2
ce_arc_60_40,CE+ArcFace 60:40,down50,1,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.0014285714285714286,0,1
ce_arc_60_40,CE+ArcFace 60:40,down50,2,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,down50,3,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,down50,4,0.9857142857142858,0.9814285714285714,-0.004285714285714337,700,0.004285714285714286,0,3
ce_arc_60_40,CE+ArcFace 60:40,down50,5,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.0014285714285714286,0,1
ce_arc_60_40,CE+ArcFace 60:40,down50,6,0.9842857142857143,0.9842857142857143,0.0,700,0.005714285714285714,2,2
ce_arc_60_40,CE+ArcFace 60:40,down50,7,0.9542857142857143,0.9642857142857143,0.010000000000000009,700,0.018571428571428572,10,3
ce_arc_60_40,CE+ArcFace 60:40,down50,8,0.9928571428571429,0.9957142857142857,0.0028571428571427804,700,0.002857142857142857,2,0
ce_arc_60_40,CE+ArcFace 60:40,down50,9,0.9714285714285714,0.9928571428571429,0.021428571428571463,700,0.02142857142857143,15,0
ce_arc_60_40,CE+ArcFace 60:40,crop80,0,0.99,0.9942857142857143,0.004285714285714337,700,0.008571428571428572,4,1
ce_arc_60_40,CE+ArcFace 60:40,crop80,1,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,crop80,2,0.9957142857142857,0.9957142857142857,0.0,700,0.0,0,0
ce_arc_60_40,CE+ArcFace 60:40,crop80,3,0.9985714285714286,0.9971428571428571,-0.0014285714285714457,700,0.0014285714285714286,0,1
ce_arc_60_40,CE+ArcFace 60:40,crop80,4,0.9928571428571429,0.9814285714285714,-0.011428571428571455,700,0.011428571428571429,0,8
ce_arc_60_40,CE+ArcFace 60:40,crop80,5,0.9857142857142858,0.9957142857142857,0.009999999999999898,700,0.012857142857142857,8,1
ce_arc_60_40,CE+ArcFace 60:40,crop80,6,0.9771428571428571,0.9842857142857143,0.0071428571428572285,700,0.02142857142857143,10,5
ce_arc_60_40,CE+ArcFace 60:40,crop80,7,0.9842857142857143,0.9642857142857143,-0.020000000000000018,700,0.02857142857142857,3,17
ce_arc_60_40,CE+ArcFace 60:40,crop80,8,0.9971428571428571,0.9957142857142857,-0.0014285714285714457,700,0.004285714285714286,1,2
ce_arc_60_40,CE+ArcFace 60:40,crop80,9,0.9457142857142857,0.9928571428571429,0.04714285714285715,700,0.05,34,1
ce_arc_20_80,CE+ArcFace 20:80,clean,0,0.9985714285714286,0.9985714285714286,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,1,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,2,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,3,1.0,1.0,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,4,0.9857142857142858,0.9857142857142858,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,5,0.9942857142857143,0.9942857142857143,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,6,0.9828571428571429,0.9828571428571429,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,7,0.9585714285714285,0.9585714285714285,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,8,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,clean,9,0.99,0.99,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,jpg70,0,1.0,0.9985714285714286,-0.0014285714285714457,700,0.0014285714285714286,0,1
ce_arc_20_80,CE+ArcFace 20:80,jpg70,1,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,jpg70,2,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,jpg70,3,1.0,1.0,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,jpg70,4,0.9842857142857143,0.9857142857142858,0.0014285714285714457,700,0.004285714285714286,2,1
ce_arc_20_80,CE+ArcFace 20:80,jpg70,5,0.9942857142857143,0.9942857142857143,0.0,700,0.005714285714285714,2,2
ce_arc_20_80,CE+ArcFace 20:80,jpg70,6,0.9928571428571429,0.9828571428571429,-0.010000000000000009,700,0.01,0,7
ce_arc_20_80,CE+ArcFace 20:80,jpg70,7,0.8614285714285714,0.9585714285714285,0.09714285714285709,700,0.10142857142857142,68,0
ce_arc_20_80,CE+ArcFace 20:80,jpg70,8,0.9957142857142857,0.9971428571428571,0.0014285714285714457,700,0.0014285714285714286,1,0
ce_arc_20_80,CE+ArcFace 20:80,jpg70,9,0.9728571428571429,0.99,0.017142857142857126,700,0.017142857142857144,12,0
ce_arc_20_80,CE+ArcFace 20:80,blur12,0,0.9914285714285714,0.9985714285714286,0.0071428571428571175,700,0.007142857142857143,5,0
ce_arc_20_80,CE+ArcFace 20:80,blur12,1,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,blur12,2,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,blur12,3,1.0,1.0,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,blur12,4,0.9885714285714285,0.9857142857142858,-0.0028571428571427804,700,0.007142857142857143,1,3
ce_arc_20_80,CE+ArcFace 20:80,blur12,5,0.9942857142857143,0.9942857142857143,0.0,700,0.008571428571428572,3,3
ce_arc_20_80,CE+ArcFace 20:80,blur12,6,0.99,0.9828571428571429,-0.0071428571428571175,700,0.007142857142857143,0,5
ce_arc_20_80,CE+ArcFace 20:80,blur12,7,0.9371428571428572,0.9585714285714285,0.021428571428571352,700,0.03142857142857143,18,3
ce_arc_20_80,CE+ArcFace 20:80,blur12,8,0.9957142857142857,0.9971428571428571,0.0014285714285714457,700,0.0014285714285714286,1,0
ce_arc_20_80,CE+ArcFace 20:80,blur12,9,0.9614285714285714,0.99,0.02857142857142858,700,0.03,20,0
ce_arc_20_80,CE+ArcFace 20:80,down50,0,0.9971428571428571,0.9985714285714286,0.0014285714285714457,700,0.0014285714285714286,1,0
ce_arc_20_80,CE+ArcFace 20:80,down50,1,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,down50,2,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,down50,3,1.0,1.0,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,down50,4,0.9914285714285714,0.9857142857142858,-0.005714285714285672,700,0.005714285714285714,0,4
ce_arc_20_80,CE+ArcFace 20:80,down50,5,0.9957142857142857,0.9942857142857143,-0.0014285714285713347,700,0.007142857142857143,2,3
ce_arc_20_80,CE+ArcFace 20:80,down50,6,0.9885714285714285,0.9828571428571429,-0.005714285714285672,700,0.008571428571428572,1,5
ce_arc_20_80,CE+ArcFace 20:80,down50,7,0.9485714285714286,0.9585714285714285,0.009999999999999898,700,0.017142857142857144,9,2
ce_arc_20_80,CE+ArcFace 20:80,down50,8,0.9957142857142857,0.9971428571428571,0.0014285714285714457,700,0.0014285714285714286,1,0
ce_arc_20_80,CE+ArcFace 20:80,down50,9,0.96,0.99,0.030000000000000027,700,0.03142857142857143,21,0
ce_arc_20_80,CE+ArcFace 20:80,crop80,0,0.9914285714285714,0.9985714285714286,0.0071428571428571175,700,0.01,6,1
ce_arc_20_80,CE+ArcFace 20:80,crop80,1,0.9971428571428571,0.9971428571428571,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,crop80,2,0.9957142857142857,0.9971428571428571,0.0014285714285714457,700,0.004285714285714286,2,1
ce_arc_20_80,CE+ArcFace 20:80,crop80,3,1.0,1.0,0.0,700,0.0,0,0
ce_arc_20_80,CE+ArcFace 20:80,crop80,4,0.9971428571428571,0.9857142857142858,-0.011428571428571344,700,0.014285714285714285,1,9
ce_arc_20_80,CE+ArcFace 20:80,crop80,5,0.9857142857142858,0.9942857142857143,0.008571428571428563,700,0.017142857142857144,9,3
ce_arc_20_80,CE+ArcFace 20:80,crop80,6,0.9842857142857143,0.9828571428571429,-0.0014285714285714457,700,0.018571428571428572,6,7
ce_arc_20_80,CE+ArcFace 20:80,crop80,7,0.9771428571428571,0.9585714285714285,-0.018571428571428572,700,0.02857142857142857,3,16
ce_arc_20_80,CE+ArcFace 20:80,crop80,8,0.9985714285714286,0.9971428571428571,-0.0014285714285714457,700,0.0014285714285714286,0,1
ce_arc_20_80,CE+ArcFace 20:80,crop80,9,0.9471428571428572,0.99,0.042857142857142816,700,0.047142857142857146,31,1
